,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.1006,-0.4843,8.5e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.2094,0.4829,1.5e-01
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2224,0.6168,9.3e-02
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0955,0.2988,2.6e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,-0.0284,-0.0695,5.6e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.0277,-0.0557,5.5e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.127,0.2638,2.9e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1133,0.6383,8.6e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.09,-0.3209,7.5e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.0477,0.1447,3.8e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2947,0.6413,8.4e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.1495,0.4091,1.9e-01
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2087,0.6497,8.1e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.0444,0.101,4.2e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0019,-0.0035,5.0e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.0772,-0.2199,6.8e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.1492,0.3949,2.0e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,-0.0167,-0.0494,5.4e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,-0.0201,-0.0695,5.6e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0721,0.1552,3.7e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.1636,0.566,1.1e-01
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.4102,0.8612,2.8e-02
