,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.0239,-0.1127,5.9e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.329,0.7259,5.9e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.1757,0.4555,1.7e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0053,0.0152,4.9e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,-0.112,-0.3422,7.7e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.0596,-0.1176,6.0e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,-0.0233,-0.0447,5.4e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,-0.0442,-0.2941,7.3e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0104,-0.0457,5.4e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.0345,0.0923,4.3e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.3956,0.8396,3.1e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.202,0.5765,1.1e-01
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.0522,0.1494,3.7e-01
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.0402,0.1274,3.9e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.0216,0.04,4.7e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.0151,0.0582,4.5e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.1155,0.2957,2.7e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,-0.1182,-0.376,7.9e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,-0.0302,-0.0905,5.7e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0284,0.0647,4.4e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.27,0.8042,4.0e-02
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.3504,0.8734,2.6e-02
