,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.066,-0.2412,6.9e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.214,0.8421,3.3e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,-0.0291,-0.1237,6.0e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,-0.0785,-0.5626,8.8e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.1253,0.4496,1.7e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.1166,-0.3241,7.5e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.1801,0.656,7.9e-02
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1245,0.6104,9.4e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,0.2199,0.7518,5.2e-02
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,-0.0167,-0.0534,5.4e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.0768,0.1314,3.9e-01
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2385,0.8676,2.8e-02
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2478,1.2321,1.9e-03
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.1833,0.551,1.2e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.086,0.1906,3.5e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.2173,1.0024,1.3e-02
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.4114,0.5754,1.1e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1591,0.5964,1.0e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.117,0.3679,2.2e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0382,0.1349,3.9e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.1328,0.61,9.7e-02
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.3877,1.3077,1.1e-04
