,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.0516,-0.1788,6.5e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.2574,0.9788,1.4e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,-0.0223,-0.1002,5.8e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,-0.0964,-0.6376,9.1e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.175,0.6597,7.7e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.1156,-0.3094,7.4e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.1498,0.5236,1.3e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1465,0.7266,5.8e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,0.2046,0.7115,6.2e-02
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,-0.0216,-0.0645,5.5e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.1676,0.2721,2.8e-01
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.3202,1.0376,8.2e-03
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2489,1.2256,2.1e-03
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.1419,0.4301,1.8e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.0669,0.1485,3.8e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.2472,1.0797,7.8e-03
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.4333,0.5978,9.9e-02
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1656,0.6196,9.1e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.1279,0.3841,2.1e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0348,0.1229,4.0e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.0537,0.2582,3.0e-01
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.4709,1.4826,2.7e-05
