,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.0798,0.2165,3.3e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.3673,0.9072,2.2e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2289,0.7959,4.1e-02
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0537,0.2352,3.1e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.0943,0.505,1.5e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.0838,0.2276,3.1e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0339,0.0925,4.2e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1079,0.4977,1.5e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0488,-0.1353,6.1e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.0566,0.1657,3.6e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2579,0.9834,1.5e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2612,0.9612,1.7e-02
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2358,0.807,3.9e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.01,-0.0319,5.3e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0518,-0.0858,5.7e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.0165,-0.0874,5.7e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.0184,0.0546,4.5e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1745,0.6153,9.3e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0332,0.1299,3.9e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.0378,-0.1739,6.4e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.341,1.0994,5.3e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.2885,0.7853,4.2e-02
