,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.1505,0.4702,1.6e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.8486,1.6114,1.6e-05
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.3221,1.2844,1.6e-03
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.1967,0.7667,4.8e-02
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.2263,1.0114,1.2e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.2089,0.6376,8.5e-02
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.1017,0.3184,2.5e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1865,0.7924,4.3e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.1112,-0.3335,7.6e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.2351,0.6778,7.2e-02
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2345,0.8149,3.8e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.3931,1.2787,1.6e-03
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.1713,0.683,7.2e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.0363,-0.1258,6.0e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.0651,0.1221,4.0e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.0501,0.2882,2.7e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.178,0.4936,1.5e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.4176,1.318,9.2e-04
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0759,0.2554,3.0e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0399,0.2001,3.4e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.4043,1.3835,3.4e-04
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.7943,1.5085,5.4e-05
