,Target words,Attrib. words,Nt,Na,s,d
0,Democrat vs. Republican,Unpleasant vs. Pleasant,16x2,25x2,0.1442,0.3257
1,Democrat vs. Republican,Liberal vs. Conservative,16x2,9x2,1.1557,1.4137
2,Democrat vs. Republican,Climate vs. Economy,16x2,7x2,0.3736,1.0476
3,Democrat vs. Republican,Prochoice vs. Prolife,16x2,4x2,0.428,0.8425
4,Democrat vs. Republican,African American names vs. European American names,16x2,32x2,-0.0363,-0.1073
5,Democrat vs. Republican,Peace vs. Violence,16x2,10x2,-0.1471,-0.233
6,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,16x2,9x2,0.3944,0.6811
7,Democrat vs. Republican,Deceptive vs. Trust,16x2,8x2,0.1106,0.1704
8,Democrat vs. Republican,Evil vs. Good,16x2,11x2,0.1344,0.2521
9,Democrat vs. Republican,Career vs. Family,16x2,8x2,-0.1642,-0.3332
10,Democrat vs. Republican,Female names vs. Male names,16x2,8x2,0.4522,0.8089
11,Democrat vs. Republican,Female terms vs. Male terms,16x2,8x2,0.0869,0.2215
12,Democrat vs. Republican,Arts vs. STEM,16x2,8x2,0.0115,0.0243
13,Democrat vs. Republican,Poor vs. Rich,16x2,6x2,-0.2564,-0.2938
14,Democrat vs. Republican,Progressive vs. Orthodox,16x2,6x2,-0.336,-0.7004
15,Democrat vs. Republican,Transparent vs. Secretive,16x2,7x2,0.1386,0.2441
16,Democrat vs. Republican,Authoritarian vs. Libertarian,16x2,5x2,1.0083,1.0676
17,Democrat vs. Republican,Fair vs. Unfair,16x2,7x2,0.1761,0.384
18,Democrat vs. Republican,Old people’s names vs. Young people’s names,16x2,8x2,0.0568,0.1596
19,Democrat vs. Republican,Gun Control vs. Gun Rights,16x2,5x2,0.7099,1.185
20,Democrat vs. Republican,Internationalism vs. Nationalism,16x2,3x2,0.1404,0.2272
