,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.1343,0.4123,1.9e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.8597,1.5763,2.7e-05
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2772,1.1529,4.6e-03
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.1976,0.769,4.7e-02
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.2997,1.2015,2.2e-03
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.2101,0.6018,9.7e-02
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0841,0.2808,2.8e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.175,0.709,6.4e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.1062,-0.3299,7.6e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.2237,0.6714,7.4e-02
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.3014,0.9987,1.4e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.3648,1.2725,1.6e-03
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.1269,0.5522,1.2e-01
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.0848,-0.2698,7.2e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.0818,0.1382,3.9e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.0446,0.2631,2.9e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.1318,0.3307,2.4e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.3624,1.1523,4.2e-03
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0057,0.0223,4.8e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0379,0.1824,3.5e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.4219,1.2815,1.1e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.7817,1.502,1.2e-04
