,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.0016,-0.0054,5.0e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.3797,1.1262,4.6e-03
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.0351,0.1199,4.0e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,-0.0549,-0.3568,7.8e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.3125,1.0284,1.1e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.0576,-0.1536,6.3e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.3291,1.0862,7.6e-03
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1009,0.4774,1.5e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,0.1821,0.6062,9.7e-02
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.0347,0.1113,4.1e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.0414,0.069,4.4e-01
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.498,1.6413,5.4e-06
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2727,1.3678,3.1e-04
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.1005,0.3164,2.5e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.1812,0.2964,2.7e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.3033,1.2569,1.6e-03
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.381,0.5865,1.0e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.2608,0.6872,6.9e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.2308,0.662,7.7e-02
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.209,0.6459,8.2e-02
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.066,0.3034,2.6e-01
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.4574,1.5569,1.6e-05
